Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.3993186950683594	0	27.378378	15.322393	77.0	10.0	27.37837837837838	15.322393700779742	1013	1013
1.0483191013336182	1	21.782608	8.965908	45.0	9.0	21.782608695652176	8.96590896839186	1002	2015
1.6850509643554688	2	21.208334	9.121765	46.0	10.0	21.208333333333332	9.121765027790522	1018	3033
2.410834550857544	3	22.444445	10.992029	84.0	12.0	22.444444444444443	10.99202853699101	1010	4043
2.903709888458252	4	25.268293	11.712043	83.0	13.0	25.26829268292683	11.712041729575262	1036	5079
3.529035806655884	5	25.948717	7.977368	41.0	13.0	25.94871794871795	7.977367723268243	1012	6091
3.96431303024292	6	42.916668	17.483128	83.0	19.0	42.916666666666664	17.483126786196518	1030	7121
4.458863973617554	7	47.95238	19.450733	102.0	21.0	47.95238095238095	19.450734324432002	1007	8128
5.021301507949829	8	57.944443	19.406391	102.0	33.0	57.94444444444444	19.406391336138668	1043	9171
5.6635332107543945	9	46.409092	20.36186	110.0	21.0	46.40909090909091	20.361860718039168	1021	10192
6.098644733428955	10	34.724136	10.051236	72.0	20.0	34.724137931034484	10.051236162520913	1007	11199
6.645736932754517	11	32.870968	23.129007	152.0	19.0	32.87096774193548	23.129009762890032	1019	12218
7.418123245239258	12	29.647058	14.822245	105.0	16.0	29.647058823529413	14.822245509291642	1008	13226
8.01783037185669	13	23.39535	5.887075	45.0	12.0	23.3953488372093	5.887075061971721	1006	14232
8.71788477897644	14	21.51064	4.296819	32.0	14.0	21.51063829787234	4.296818914507009	1011	15243
9.539534568786621	15	23.511627	5.297529	38.0	14.0	23.511627906976745	5.297529450616715	1011	16254
10.192810773849487	16	22.844444	4.7279572	33.0	14.0	22.844444444444445	4.727957301722761	1028	17282
11.052683591842651	17	23.418604	4.2766676	36.0	15.0	23.41860465116279	4.2766676776544905	1007	18289
11.867623329162598	18	24.142857	6.427513	48.0	15.0	24.142857142857142	6.427513140404151	1014	19303
12.598868370056152	19	24.452381	5.984911	39.0	16.0	24.452380952380953	5.9849111102615735	1027	20330
13.185813188552856	20	27.0	11.135529	83.0	11.0	27.0	11.135528725660043	1026	21356
13.765917778015137	21	25.97436	6.086922	38.0	14.0	25.974358974358974	6.08692242344899	1013	22369
14.277573823928833	22	27.621622	6.139598	50.0	19.0	27.62162162162162	6.139598328931102	1022	23391
14.759162664413452	23	26.763159	5.2637506	39.0	16.0	26.763157894736842	5.263749966697826	1017	24408
15.372090816497803	24	30.575758	6.2621045	43.0	21.0	30.575757575757574	6.262104898467632	1009	25417
16.014422178268433	25	33.19355	10.938005	65.0	18.0	33.193548387096776	10.938005228408466	1029	26446
16.550328969955444	26	36.035713	11.64806	61.0	17.0	36.035714285714285	11.64805974908986	1009	27455
16.990439653396606	27	33.6	14.557015	92.0	17.0	33.6	14.557014345897535	1008	28463
17.529690742492676	28	37.296295	10.204628	59.0	21.0	37.2962962962963	10.204627907328288	1007	29470
