Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.2615385055541992	0	27.378378	15.322393	77.0	10.0	27.37837837837838	15.322393700779742	1013	1013
0.7669892311096191	1	37.333332	20.443237	89.0	17.0	37.333333333333336	20.443236679301197	1008	2021
1.3250980377197266	2	38.46154	22.641403	106.0	11.0	38.46153846153846	22.64140313882235	1000	3021
1.9104502201080322	3	44.217392	16.17555	78.0	19.0	44.21739130434783	16.175549239352183	1017	4038
2.5707852840423584	4	44.913044	16.0052	97.0	25.0	44.91304347826087	16.00519764347836	1033	5071
2.978607416152954	5	47.809525	17.826197	88.0	18.0	47.80952380952381	17.826195405368622	1004	6075
3.4893269538879395	6	53.0	30.289827	142.0	23.0	53.0	30.289828065053893	1007	7082
4.145566463470459	7	61.0	21.855139	108.0	37.0	61.0	21.85513804174042	1037	8119
4.749284744262695	8	56.0	22.095488	114.0	31.0	56.0	22.09548655983365	1064	9183
5.379314184188843	9	64.4375	23.88506	110.0	31.0	64.4375	23.88506005330529	1031	10214
5.710723876953125	10	71.71429	39.223583	168.0	33.0	71.71428571428571	39.22358723929222	1004	11218
6.440619230270386	11	71.64286	25.880516	131.0	44.0	71.64285714285714	25.88051429952974	1003	12221
7.162835121154785	12	63.235294	23.787117	124.0	31.0	63.23529411764706	23.787118144478477	1075	13296
7.87459397315979	13	74.0	36.170235	160.0	33.0	74.0	36.170232433393544	1036	14332
8.393014192581177	14	80.84615	27.256182	139.0	41.0	80.84615384615384	27.256181102348574	1051	15383
8.894750595092773	15	86.666664	29.561613	138.0	43.0	86.66666666666667	29.56161174376135	1040	16423
9.697171926498413	16	75.78571	36.32036	190.0	31.0	75.78571428571429	36.32035747823718	1061	17484
10.275595426559448	17	51.0	18.539148	111.0	25.0	51.0	18.539147768977948	1020	18504
10.846176862716675	18	47.81818	18.05959	104.0	19.0	47.81818181818182	18.059589151765845	1052	19556
11.23665452003479	19	36.785713	9.213178	55.0	20.0	36.785714285714285	9.213178228017979	1030	20586
11.733227491378784	20	29.764706	5.6049285	43.0	21.0	29.764705882352942	5.604928626975977	1012	21598
12.447635889053345	21	26.973684	4.7820215	36.0	16.0	26.973684210526315	4.782021385549834	1025	22623
13.074524641036987	22	25.341463	5.399231	40.0	12.0	25.341463414634145	5.399231002595945	1039	23662
13.560089111328125	23	23.302326	3.775902	38.0	15.0	23.302325581395348	3.77590207131174	1002	24664
14.12151288986206	24	21.847826	3.635378	32.0	16.0	21.847826086956523	3.6353780456744307	1005	25669
14.852453231811523	25	21.847826	3.270204	29.0	14.0	21.847826086956523	3.270204031025719	1005	26674
15.50339651107788	26	22.333334	4.7795863	38.0	15.0	22.333333333333332	4.779586221049311	1005	27679
16.058851957321167	27	22.577778	3.93553	34.0	16.0	22.57777777777778	3.935529832402289	1016	28695
16.59073233604431	28	23.302326	4.5725923	38.0	16.0	23.302325581395348	4.5725921798072005	1002	29697
17.403160333633423	29	23.0	3.7050335	32.0	16.0	23.0	3.7050334313299693	1012	30709
18.081398010253906	30	25.897436	4.442192	40.0	19.0	25.897435897435898	4.442192065687273	1010	31719
18.449942588806152	31	28.027779	4.1997757	39.0	20.0	28.02777777777778	4.199775861156238	1009	32728
19.10124969482422	32	32.612904	6.494054	45.0	19.0	32.61290322580645	6.494053952083416	1011	33739
19.552873611450195	33	62.625	24.740845	94.0	27.0	62.625	24.740844266111857	1002	34741
20.158112287521362	34	59.235294	27.398003	102.0	32.0	59.23529411764706	27.39800209926158	1007	35748
20.90402102470398	35	86.833336	22.244225	109.0	39.0	86.83333333333333	22.244225218144944	1042	36790
21.66003704071045	36	87.833336	31.918732	134.0	29.0	87.83333333333333	31.918733614533576	1054	37844
22.19162368774414	37	100.8	21.46066	130.0	56.0	100.8	21.460661685977907	1008	38852
22.80578351020813	38	110.0	17.66352	144.0	80.0	110.0	17.663521732655695	1100	39952
23.294111728668213	39	153.0	17.952318	188.0	125.0	153.0	17.952317797034294	1071	41023
23.99145817756653	40	163.57143	28.957394	200.0	125.0	163.57142857142858	28.95739304987412	1145	42168
24.547452449798584	41	169.85715	35.028267	200.0	108.0	169.85714285714286	35.02826846757822	1189	43357
25.167767763137817	42	127.666664	35.571526	200.0	75.0	127.66666666666667	35.5715241918776	1149	44506
25.6046884059906	43	132.55556	52.219856	200.0	17.0	132.55555555555554	52.21985810251607	1193	45699
26.35736346244812	44	111.77778	14.657404	142.0	87.0	111.77777777777777	14.657404482814805	1006	46705
27.00781011581421	45	116.77778	33.89126	196.0	72.0	116.77777777777777	33.89125674787846	1051	47756
27.620540857315063	46	116.22222	16.457201	141.0	85.0	116.22222222222223	16.457202258368202	1046	48802
28.181279182434082	47	110.4	21.270638	139.0	59.0	110.4	21.270637037945054	1104	49906
28.87861394882202	48	111.44444	21.914537	132.0	61.0	111.44444444444444	21.914536581462244	1003	50909
29.31561851501465	49	103.0	24.318718	129.0	60.0	103.0	24.318717071424636	1030	51939
29.88105821609497	50	94.0	37.03561	136.0	38.0	94.0	37.035609400094444	1034	52973
30.519663333892822	51	78.64286	30.096527	128.0	38.0	78.64285714285714	30.09652837800671	1101	54074
31.202244997024536	52	84.46154	32.364784	122.0	29.0	84.46153846153847	32.36478471951928	1098	55172
31.737560033798218	53	114.111115	14.301861	133.0	82.0	114.11111111111111	14.30186036418141	1027	56199
32.45340394973755	54	73.26667	31.448301	124.0	30.0	73.26666666666667	31.448299724397746	1099	57298
