Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
3.1296751499176025	0	20.274193	10.0123625	66.0	10.0	20.274193548387096	10.012362285853634	5028	5028
4.045154809951782	1	20.549181	11.485273	97.0	9.0	20.549180327868854	11.485273863586372	5014	10042
5.0531165599823	2	21.55794	10.961789	81.0	10.0	21.55793991416309	10.96178845154729	5023	15065
6.002777576446533	3	29.892857	16.127111	90.0	9.0	29.892857142857142	16.12711252839148	5022	20087
6.864688158035278	4	37.81955	20.063372	118.0	12.0	37.81954887218045	20.06337125116059	5030	25117
7.723970651626587	5	43.973682	27.000797	158.0	14.0	43.973684210526315	27.000799379432216	5013	30130
8.678171634674072	6	31.44654	18.274513	110.0	12.0	31.446540880503143	18.274513234186074	5000	35130
9.684304475784302	7	28.668571	11.925669	80.0	11.0	28.66857142857143	11.925669107998486	5017	40147
10.671987771987915	8	27.282608	10.568438	64.0	10.0	27.282608695652176	10.568437512498077	5020	45167
11.662459373474121	9	30.174698	11.986924	78.0	12.0	30.174698795180724	11.986924034164975	5009	50176
21.984702587127686	10	34.854168	16.292027	128.0	16.0	34.854166666666664	16.292026317428345	5019	55195
22.670401334762573	11	44.13158	21.97507	152.0	15.0	44.13157894736842	21.97507086705725	5031	60226
23.356379508972168	12	49.71287	20.519653	120.0	16.0	49.71287128712871	20.519653285658386	5021	65247
24.079160690307617	13	61.134148	25.269167	153.0	20.0	61.13414634146341	25.269166690788932	5013	70260
24.92056894302368	14	53.468086	20.816168	126.0	19.0	53.46808510638298	20.816167063770397	5026	75286
25.827492713928223	15	44.92857	17.77072	117.0	14.0	44.92857142857143	17.770719439227978	5032	80318
26.635026216506958	16	34.958332	14.873016	112.0	16.0	34.958333333333336	14.873015740670157	5034	85352
27.504377603530884	17	28.288136	10.946791	98.0	11.0	28.28813559322034	10.946790950648856	5007	90359
28.469428777694702	18	26.020725	8.435036	69.0	10.0	26.020725388601036	8.435035834282203	5022	95381
29.38240122795105	19	22.710407	6.7433443	52.0	10.0	22.710407239819006	6.743344653747398	5019	100400
32.22895693778992	20	21.405983	5.9708805	53.0	11.0	21.405982905982906	5.970880772238631	5009	105409
33.242207050323486	21	20.258064	4.8299656	36.0	10.0	20.258064516129032	4.829965216835176	5024	110433
34.00981068611145	22	19.798418	5.168588	44.0	11.0	19.798418972332016	5.168588376021713	5009	115442
34.659316062927246	23	18.950758	4.5959306	38.0	10.0	18.950757575757574	4.595930284899318	5003	120445
35.39495825767517	24	18.871698	4.366959	35.0	10.0	18.871698113207547	4.366959019578234	5001	125446
36.285574197769165	25	18.939394	4.7835855	48.0	10.0	18.939393939393938	4.783585531981366	5000	130446
37.14488911628723	26	19.501945	4.9989295	49.0	11.0	19.50194552529183	4.998929467978747	5012	135458
38.01836943626404	27	19.180077	4.308299	32.0	12.0	19.18007662835249	4.30829921659603	5006	140464
38.83715844154358	28	19.896826	4.5718765	35.0	11.0	19.896825396825395	4.571876355935075	5014	145478
39.615807056427	29	20.02	4.7340894	38.0	11.0	20.02	4.734089141535043	5005	150483
43.69660711288452	30	21.232067	4.927421	38.0	9.0	21.23206751054852	4.927421029695062	5032	155515
44.51370096206665	31	22.101322	5.2541866	47.0	11.0	22.101321585903083	5.254186333233322	5017	160532
45.28875517845154	32	22.809092	5.1838837	55.0	12.0	22.80909090909091	5.183883161115726	5018	165550
45.974846839904785	33	24.536585	5.265153	42.0	14.0	24.536585365853657	5.265152632423173	5030	170580
46.63820767402649	34	25.65641	5.582013	44.0	12.0	25.656410256410258	5.582013002942847	5003	175583
47.365684032440186	35	26.88172	5.7806673	56.0	14.0	26.881720430107528	5.780667562680609	5000	180583
48.07902717590332	36	28.0838	6.709346	53.0	11.0	28.083798882681563	6.7093460274438375	5027	185610
48.80815076828003	37	29.680473	7.2531343	52.0	14.0	29.680473372781066	7.253134626221668	5016	190626
