Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
1.348564624786377	0	22.128319	11.720431	79.0	9.0	22.128318584070797	11.720430456821731	5001	5001
2.436267137527466	1	24.950249	13.601928	79.0	9.0	24.950248756218905	13.601928179007437	5015	10016
3.693368911743164	2	24.905941	13.2196245	90.0	9.0	24.905940594059405	13.219624788957793	5031	15047
4.772334337234497	3	28.770115	13.823353	89.0	8.0	28.770114942528735	13.823352845631707	5006	20053
5.957401514053345	4	35.415493	16.650188	100.0	11.0	35.41549295774648	16.650188408927008	5029	25082
7.283968448638916	5	52.427082	32.27026	160.0	11.0	52.427083333333336	32.27026004171213	5033	30115
8.697362899780273	6	52.197918	27.575508	150.0	11.0	52.197916666666664	27.575509889387764	5011	35126
9.952860355377197	7	41.114754	20.30392	117.0	17.0	41.114754098360656	20.303918995575128	5016	40142
11.234135627746582	8	31.192547	14.104541	90.0	12.0	31.19254658385093	14.104541151435962	5022	45164
12.730127096176147	9	29.380117	10.345576	79.0	13.0	29.380116959064328	10.345576334546227	5024	50188
13.858491897583008	10	27.409836	9.384402	62.0	11.0	27.40983606557377	9.384402329234964	5016	55204
15.344688892364502	11	28.395481	8.7411995	75.0	12.0	28.3954802259887	8.741199410965542	5026	60230
16.880346536636353	12	32.070515	9.993018	99.0	11.0	32.07051282051282	9.993018190593268	5003	65233
18.348819732666016	13	36.043167	11.0881815	72.0	16.0	36.0431654676259	11.088181863144852	5010	70243
19.490164041519165	14	41.876034	14.989015	107.0	17.0	41.87603305785124	14.989015398300097	5067	75310
20.64642095565796	15	48.104763	19.348396	127.0	19.0	48.10476190476191	19.348396665221106	5051	80361
22.459107160568237	16	61.146343	27.596006	138.0	17.0	61.146341463414636	27.596006228906415	5014	85375
23.700380563735962	17	72.171425	24.566513	137.0	25.0	72.17142857142858	24.566511135848227	5052	90427
25.13649034500122	18	79.95238	27.904842	173.0	40.0	79.95238095238095	27.904843165817	5037	95464
26.29279088973999	19	76.62687	33.66243	173.0	29.0	76.6268656716418	33.66243125853638	5134	100598
27.926713943481445	20	60.33735	30.633976	200.0	21.0	60.33734939759036	30.633974803335846	5008	105606
29.160773277282715	21	52.810528	23.986967	140.0	19.0	52.810526315789474	23.986967837531722	5017	110623
30.55990695953369	22	45.315315	15.541853	96.0	15.0	45.31531531531532	15.541853972437659	5030	115653
31.710186004638672	23	42.381355	14.213816	117.0	22.0	42.38135593220339	14.213814890966754	5001	120654
32.747934103012085	24	40.096	14.808334	145.0	18.0	40.096	14.808334950290662	5012	125666
33.98900842666626	25	37.992424	8.9099	57.0	15.0	37.99242424242424	8.909899339737839	5015	130681
35.52423310279846	26	37.402985	10.399569	66.0	15.0	37.40298507462686	10.399569023062874	5012	135693
36.677448749542236	27	36.985294	9.131382	71.0	18.0	36.98529411764706	9.131381969789715	5030	140723
38.014135122299194	28	36.10072	8.375447	69.0	21.0	36.10071942446043	8.375447986754578	5018	145741
39.4319634437561	29	37.380596	9.933206	72.0	20.0	37.38059701492537	9.93320586457619	5009	150750
40.62918996810913	30	37.93233	9.669887	73.0	18.0	37.932330827067666	9.669886197806226	5045	155795
42.016268730163574	31	41.768597	13.1002245	87.0	18.0	41.768595041322314	13.100224167269149	5054	160849
43.289937019348145	32	40.788616	12.424898	97.0	16.0	40.78861788617886	12.424897658717304	5017	165866
44.514626264572144	33	43.11207	15.448899	113.0	21.0	43.11206896551724	15.44889882903395	5001	170867
45.74774956703186	34	48.932037	19.271318	127.0	13.0	48.932038834951456	19.271318864950796	5040	175907
47.01496767997742	35	49.524754	26.473824	200.0	22.0	49.524752475247524	26.47382195114842	5002	180909
48.397059202194214	36	55.296703	33.105724	200.0	25.0	55.2967032967033	33.10572292264056	5032	185941
49.877665758132935	37	62.839508	32.5654	168.0	13.0	62.839506172839506	32.56539737096684	5090	191031
51.252522230148315	38	66.68	36.817085	200.0	29.0	66.68	36.81708299145928	5001	196032
52.75923204421997	39	56.897728	26.088154	182.0	15.0	56.89772727272727	26.088154649505753	5007	201039
54.1992347240448	40	66.07895	28.856615	168.0	30.0	66.07894736842105	28.85661611535228	5022	206061
55.61395263671875	41	75.0	26.836153	175.0	29.0	75.0	26.8361529373644	5025	211086
56.88426971435547	42	77.01538	31.502132	200.0	35.0	77.01538461538462	31.502132922997845	5006	216092
58.50480914115906	43	93.24074	38.11869	200.0	12.0	93.24074074074075	38.11869143200406	5035	221127
59.7937650680542	44	89.5	36.266376	200.0	40.0	89.5	36.26637561157718	5012	226139
61.04889225959778	45	87.89474	33.97403	200.0	41.0	87.89473684210526	33.974027340053134	5010	231149
61.99500370025635	46	71.64789	28.180553	200.0	35.0	71.64788732394366	28.180553974277423	5087	236236
63.122798919677734	47	66.90667	21.055593	128.0	32.0	66.90666666666667	21.0555920257673	5018	241254
64.51408648490906	48	63.873417	24.098618	143.0	16.0	63.87341772151899	24.098619682414608	5046	246300
65.64252591133118	49	61.77778	24.536694	161.0	28.0	61.77777777777778	24.536694616758172	5004	251304
67.03436875343323	50	59.376472	27.629473	176.0	27.0	59.37647058823529	27.629471251924087	5047	256351
68.37256217002869	51	56.909092	27.078857	180.0	21.0	56.90909090909091	27.07885637928451	5008	261359
69.45503354072571	52	61.30488	34.220837	200.0	21.0	61.30487804878049	34.22083555322309	5027	266386
70.8760290145874	53	54.489132	26.56759	168.0	23.0	54.48913043478261	26.567589999363722	5013	271399
