Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.2414844036102295	0	29.794117	22.573774	95.0	9.0	29.794117647058822	22.57377371011703	1013	1013
0.8394584655761719	1	29.647058	22.00118	106.0	11.0	29.647058823529413	22.00117958460834	1008	2021
1.4585373401641846	2	35.62069	18.033329	87.0	12.0	35.62068965517241	18.033328900913265	1033	3054
2.0678744316101074	3	42.208332	31.443043	151.0	12.0	42.208333333333336	31.443042641505855	1013	4067
2.667475700378418	4	34.62069	21.780113	122.0	16.0	34.62068965517241	21.7801139813734	1004	5071
3.2599544525146484	5	41.24	17.081638	92.0	16.0	41.24	17.08163926559743	1031	6102
3.9909138679504395	6	63.0625	35.297783	132.0	19.0	63.0625	35.29778454450081	1009	7111
4.543566942214966	7	64.4375	22.262548	107.0	31.0	64.4375	22.262549129648203	1031	8142
5.309909343719482	8	70.46667	34.82311	145.0	28.0	70.46666666666667	34.82310854718298	1057	9199
6.0493810176849365	9	48.714287	21.231476	110.0	22.0	48.714285714285715	21.23147451789634	1023	10222
6.592627048492432	10	37.074074	10.259326	60.0	18.0	37.074074074074076	10.259326112898904	1001	11223
7.1103997230529785	11	32.967743	8.704779	55.0	19.0	32.96774193548387	8.70477759426746	1022	12245
7.64526891708374	12	31.212122	9.213817	57.0	14.0	31.21212121212121	9.213815633642891	1030	13275
8.22606372833252	13	30.666666	10.469774	64.0	14.0	30.666666666666668	10.46977371370373	1012	14287
8.84943175315857	14	33.933334	8.902933	65.0	23.0	33.93333333333333	8.902933349308093	1018	15305
9.252897262573242	15	38.333332	11.505231	80.0	23.0	38.333333333333336	11.50523230405933	1035	16340
9.854511976242065	16	42.833332	14.476033	73.0	25.0	42.833333333333336	14.476033833738976	1028	17368
10.525174140930176	17	45.565216	14.553727	75.0	22.0	45.56521739130435	14.55372681079234	1048	18416
11.06668496131897	18	77.07692	35.687664	180.0	36.0	77.07692307692308	35.68766548060578	1002	19418
11.630465030670166	19	70.46667	21.62365	107.0	25.0	70.46666666666667	21.623649604593165	1057	20475
12.165997982025146	20	80.30769	20.574013	115.0	35.0	80.3076923076923	20.574011296497392	1044	21519
12.617182970046997	21	84.333336	36.044724	158.0	48.0	84.33333333333333	36.04472530374205	1012	22531
13.091080904006958	22	78.42857	27.691448	132.0	38.0	78.42857142857143	27.691448617409172	1098	23629
13.766892194747925	23	51.3	15.026977	105.0	33.0	51.3	15.026975743641833	1026	24655
14.204243898391724	24	44.95652	11.346244	67.0	30.0	44.95652173913044	11.346243434529967	1034	25689
14.681070566177368	25	43.739132	13.530055	79.0	25.0	43.73913043478261	13.530054761624283	1006	26695
15.254886150360107	26	45.173912	11.300836	71.0	26.0	45.17391304347826	11.300835574774581	1039	27734
16.129409790039062	27	40.96	9.092766	58.0	27.0	40.96	9.09276635573575	1024	28758
16.439754009246826	28	34.4	7.969107	65.0	23.0	34.4	7.969107018146178	1032	29790
17.156609773635864	29	32.419353	6.3285027	46.0	20.0	32.41935483870968	6.328502822221357	1005	30795
17.84476399421692	30	30.058823	6.096967	45.0	21.0	30.058823529411764	6.096967310115976	1022	31817
18.510680198669434	31	30.545454	7.4186125	52.0	20.0	30.545454545454547	7.418612584046717	1008	32825
19.33227038383484	32	28.305555	6.8912964	46.0	17.0	28.305555555555557	6.891296622247693	1019	33844
19.896110773086548	33	28.8	5.5073977	44.0	17.0	28.8	5.507397622419192	1008	34852
20.714603662490845	34	29.057142	4.8986464	42.0	18.0	29.057142857142857	4.898646210319495	1017	35869
21.561347246170044	35	31.212122	5.585466	48.0	24.0	31.21212121212121	5.585465856470028	1030	36899
22.170355081558228	36	31.8125	6.110634	44.0	19.0	31.8125	6.110633661904467	1018	37917
22.713506937026978	37	30.90909	6.283039	52.0	18.0	30.90909090909091	6.2830393936405144	1020	38937
23.11248016357422	38	30.205883	5.345583	39.0	19.0	30.205882352941178	5.345583178248275	1027	39964
23.697821378707886	39	33.666668	7.011102	44.0	21.0	33.666666666666664	7.011102306738618	1010	40974
24.382876873016357	40	35.892857	6.44947	51.0	23.0	35.892857142857146	6.4494699987910735	1005	41979
25.248488426208496	41	43.47826	14.160168	92.0	28.0	43.47826086956522	14.160169383712377	1000	42979
25.97640085220337	42	40.76	9.795018	72.0	28.0	40.76	9.795019142400898	1019	43998
26.657691478729248	43	42.75	11.990447	73.0	20.0	42.75	11.990447586864025	1026	45024
27.423081159591675	44	52.68421	13.642243	80.0	29.0	52.68421052631579	13.642243339132305	1001	46025
28.051114320755005	45	58.11111	18.970413	106.0	33.0	58.111111111111114	18.970412309959862	1046	47071
28.50389814376831	46	53.105263	16.78312	89.0	29.0	53.10526315789474	16.783120395025048	1009	48080
29.321580171585083	47	59.88889	16.75274	98.0	36.0	59.888888888888886	16.752740700782493	1078	49158
29.842936277389526	48	61.764706	21.028074	104.0	30.0	61.76470588235294	21.028074823812275	1050	50208
30.544618844985962	49	81.5	40.672474	195.0	44.0	81.5	40.67247226319049	1141	51349
31.188350439071655	50	80.07143	34.268818	145.0	37.0	80.07142857142857	34.268820242551776	1121	52470
31.991767168045044	51	79.15385	28.984999	145.0	49.0	79.15384615384616	28.98499918086583	1029	53499
32.721795320510864	52	96.09091	39.80739	200.0	51.0	96.0909090909091	39.80738749495568	1057	54556
33.192835092544556	53	107.4	38.41406	200.0	67.0	107.4	38.41405992602188	1074	55630
33.98929691314697	54	102.9	42.79591	184.0	50.0	102.9	42.79591101962897	1029	56659
34.63617753982544	55	118.22222	46.045334	177.0	42.0	118.22222222222223	46.04533461172991	1064	57723
35.10527276992798	56	114.111115	49.07465	200.0	42.0	114.11111111111111	49.07464709658461	1027	58750
35.77054524421692	57	101.5	39.41383	191.0	54.0	101.5	39.41383006001827	1015	59765
36.32623815536499	58	100.7	35.05724	168.0	42.0	100.7	35.057238910102434	1007	60772
36.81295919418335	59	95.0	21.251738	127.0	54.0	95.0	21.251737896848898	1045	61817
37.287200689315796	60	102.5	41.10292	181.0	39.0	102.5	41.10291960432981	1025	62842
37.62928533554077	61	78.28571	33.43315	174.0	34.0	78.28571428571429	33.43314986961416	1096	63938
38.33375835418701	62	79.84615	26.205833	152.0	48.0	79.84615384615384	26.205830689565584	1038	64976
38.88973069190979	63	64.5625	29.440552	152.0	27.0	64.5625	29.440551858788247	1033	66009
39.53180193901062	64	72.25	43.192158	200.0	22.0	72.25	43.19215785301772	1156	67165
40.29298377037048	65	78.38461	46.29926	200.0	36.0	78.38461538461539	46.29925811257831	1019	68184
41.07673931121826	66	72.07143	28.013937	121.0	33.0	72.07142857142857	28.01393603628198	1009	69193
41.584237575531006	67	66.8	30.772715	131.0	33.0	66.8	30.772715187321385	1002	70195
42.082977294921875	68	57.38889	15.895977	95.0	41.0	57.388888888888886	15.895977439762301	1033	71228
42.723631620407104	69	62.058823	17.985191	113.0	42.0	62.05882352941177	17.985191909670625	1055	72283
43.21935772895813	70	66.73333	32.61179	166.0	34.0	66.73333333333333	32.61179064217249	1001	73284
43.76965045928955	71	63.1875	28.507057	138.0	31.0	63.1875	28.507057788379353	1011	74295
44.378132820129395	72	60.117645	29.303448	130.0	29.0	60.11764705882353	29.303447604718652	1022	75317
45.17548894882202	73	49.857143	15.62137	98.0	24.0	49.857142857142854	15.621370326714416	1047	76364
45.79390478134155	74	57.894737	23.447355	135.0	31.0	57.89473684210526	23.447353653489355	1100	77464
46.462116956710815	75	58.736843	24.417082	131.0	29.0	58.73684210526316	24.417082254380325	1116	78580
47.126590728759766	76	60.294117	20.599157	99.0	18.0	60.294117647058826	20.599156767100222	1025	79605
47.71659445762634	77	53.31579	17.493015	111.0	30.0	53.31578947368421	17.493014038930085	1013	80618
48.315712690353394	78	51.85	13.256226	83.0	27.0	51.85	13.256224952828767	1037	81655
48.90606355667114	79	60.17647	25.184578	121.0	34.0	60.1764705882353	25.184578133821233	1023	82678
49.38552498817444	80	59.705883	23.812416	121.0	31.0	59.705882352941174	23.812415708376	1015	83693
49.95706796646118	81	47.904762	10.519392	67.0	26.0	47.904761904761905	10.519391444940249	1006	84699
50.652796268463135	82	60.588234	20.58	98.0	32.0	60.588235294117645	20.579998352282022	1030	85729
51.4199538230896	83	52.68421	12.549073	77.0	19.0	52.68421052631579	12.549072650069856	1001	86730
51.84962558746338	84	59.117645	16.258509	89.0	33.0	59.11764705882353	16.258508552324866	1005	87735
52.3239848613739	85	63.1875	26.601736	136.0	31.0	63.1875	26.601735728143755	1011	88746
52.8176805973053	86	63.6875	13.586385	98.0	41.0	63.6875	13.58638449882823	1019	89765
53.20668697357178	87	53.842106	16.271587	84.0	28.0	53.8421052631579	16.271586982722003	1023	90788
53.90949082374573	88	63.1875	25.76145	127.0	38.0	63.1875	25.761450730694495	1011	91799
54.50846815109253	89	56.444443	19.80242	97.0	26.0	56.44444444444444	19.802419106491403	1016	92815
54.99258470535278	90	61.0	18.445469	114.0	41.0	61.0	18.445468118691025	1037	93852
55.76928353309631	91	65.4375	29.916485	163.0	36.0	65.4375	29.916485317463348	1047	94899
56.258718490600586	92	62.941177	19.419428	101.0	37.0	62.94117647058823	19.41942807734592	1070	95969
56.85511493682861	93	77.07692	37.771503	169.0	41.0	77.07692307692308	37.77150236001402	1002	96971
57.44667720794678	94	89.583336	43.40979	200.0	42.0	89.58333333333333	43.409788322706916	1075	98046
57.87216353416443	95	66.86667	28.586401	144.0	31.0	66.86666666666666	28.586399252480582	1003	99049
58.292487144470215	96	65.6875	20.644972	97.0	15.0	65.6875	20.644971391358236	1051	100100
58.669007539749146	97	72.92857	21.763218	127.0	48.0	72.92857142857143	21.763220237410657	1021	101121
58.96988582611084	98	76.92308	23.46015	132.0	51.0	76.92307692307692	23.460151283076843	1000	102121
59.27922701835632	99	82.53846	37.018948	173.0	43.0	82.53846153846153	37.01894605285117	1073	103194
